date,initiative_id,initiative_name,owner,progress,delay_months,budget_k
2020-01-01,INIT_A1,Automation Wave 1 (priority flows),IT Ops,0.0,0,600.0
2020-01-01,INIT_DQ1,Data Quality & Reference Alignment,Data,0.0,0,250.0
2020-01-01,INIT_RES1,Observability & Incident Reduction,Ops,0.0,0,400.0
2020-02-01,INIT_A1,Automation Wave 1 (priority flows),IT Ops,0.0,0,600.0
2020-02-01,INIT_DQ1,Data Quality & Reference Alignment,Data,0.0,0,250.0
2020-02-01,INIT_RES1,Observability & Incident Reduction,Ops,0.0,0,400.0
2020-03-01,INIT_A1,Automation Wave 1 (priority flows),IT Ops,0.0,0,600.0
2020-03-01,INIT_DQ1,Data Quality & Reference Alignment,Data,0.0,0,250.0
2020-03-01,INIT_RES1,Observability & Incident Reduction,Ops,0.0,0,400.0
2020-04-01,INIT_A1,Automation Wave 1 (priority flows),IT Ops,0.0,0,600.0
2020-04-01,INIT_DQ1,Data Quality & Reference Alignment,Data,0.0,0,250.0
2020-04-01,INIT_RES1,Observability & Incident Reduction,Ops,0.0,0,400.0
2020-05-01,INIT_A1,Automation Wave 1 (priority flows),IT Ops,0.0,0,600.0
2020-05-01,INIT_DQ1,Data Quality & Reference Alignment,Data,0.0,0,250.0
2020-05-01,INIT_RES1,Observability & Incident Reduction,Ops,0.0,0,400.0
2020-06-01,INIT_A1,Automation Wave 1 (priority flows),IT Ops,0.0,0,600.0
2020-06-01,INIT_DQ1,Data Quality & Reference Alignment,Data,0.0,0,250.0
2020-06-01,INIT_RES1,Observability & Incident Reduction,Ops,0.0,0,400.0
2020-07-01,INIT_A1,Automation Wave 1 (priority flows),IT Ops,0.0,0,600.0
2020-07-01,INIT_DQ1,Data Quality & Reference Alignment,Data,0.0,0,250.0
2020-07-01,INIT_RES1,Observability & Incident Reduction,Ops,0.0,0,400.0
2020-08-01,INIT_A1,Automation Wave 1 (priority flows),IT Ops,0.0,0,600.0
2020-08-01,INIT_DQ1,Data Quality & Reference Alignment,Data,0.0,0,250.0
2020-08-01,INIT_RES1,Observability & Incident Reduction,Ops,0.0,0,400.0
2020-09-01,INIT_A1,Automation Wave 1 (priority flows),IT Ops,0.0,0,600.0
2020-09-01,INIT_DQ1,Data Quality & Reference Alignment,Data,0.0,0,250.0
2020-09-01,INIT_RES1,Observability & Incident Reduction,Ops,0.0,0,400.0
2020-10-01,INIT_A1,Automation Wave 1 (priority flows),IT Ops,0.0,0,600.0
2020-10-01,INIT_DQ1,Data Quality & Reference Alignment,Data,0.0,0,250.0
2020-10-01,INIT_RES1,Observability & Incident Reduction,Ops,0.0,0,400.0
2020-11-01,INIT_A1,Automation Wave 1 (priority flows),IT Ops,0.0,0,600.0
2020-11-01,INIT_DQ1,Data Quality & Reference Alignment,Data,0.0,0,250.0
2020-11-01,INIT_RES1,Observability & Incident Reduction,Ops,0.0,0,400.0
2020-12-01,INIT_A1,Automation Wave 1 (priority flows),IT Ops,0.0,0,600.0
2020-12-01,INIT_DQ1,Data Quality & Reference Alignment,Data,0.0,0,250.0
2020-12-01,INIT_RES1,Observability & Incident Reduction,Ops,0.0,0,400.0
2021-01-01,INIT_A1,Automation Wave 1 (priority flows),IT Ops,0.0,0,600.0
2021-01-01,INIT_DQ1,Data Quality & Reference Alignment,Data,0.0,0,250.0
2021-01-01,INIT_RES1,Observability & Incident Reduction,Ops,0.0,0,400.0
2021-02-01,INIT_A1,Automation Wave 1 (priority flows),IT Ops,0.0,0,600.0
2021-02-01,INIT_DQ1,Data Quality & Reference Alignment,Data,0.0,0,250.0
2021-02-01,INIT_RES1,Observability & Incident Reduction,Ops,0.0,0,400.0
2021-03-01,INIT_A1,Automation Wave 1 (priority flows),IT Ops,0.0,0,600.0
2021-03-01,INIT_DQ1,Data Quality & Reference Alignment,Data,0.0,0,250.0
2021-03-01,INIT_RES1,Observability & Incident Reduction,Ops,0.0,0,400.0
2021-04-01,INIT_A1,Automation Wave 1 (priority flows),IT Ops,0.0,0,600.0
2021-04-01,INIT_DQ1,Data Quality & Reference Alignment,Data,0.0,0,250.0
2021-04-01,INIT_RES1,Observability & Incident Reduction,Ops,0.0,0,400.0
2021-05-01,INIT_A1,Automation Wave 1 (priority flows),IT Ops,0.0,0,600.0
2021-05-01,INIT_DQ1,Data Quality & Reference Alignment,Data,0.0,0,250.0
2021-05-01,INIT_RES1,Observability & Incident Reduction,Ops,0.0,0,400.0
2021-06-01,INIT_A1,Automation Wave 1 (priority flows),IT Ops,0.0,0,600.0
2021-06-01,INIT_DQ1,Data Quality & Reference Alignment,Data,0.0,0,250.0
2021-06-01,INIT_RES1,Observability & Incident Reduction,Ops,0.0,0,400.0
2021-07-01,INIT_A1,Automation Wave 1 (priority flows),IT Ops,0.0,0,600.0
2021-07-01,INIT_DQ1,Data Quality & Reference Alignment,Data,0.0,0,250.0
2021-07-01,INIT_RES1,Observability & Incident Reduction,Ops,0.0,0,400.0
2021-08-01,INIT_A1,Automation Wave 1 (priority flows),IT Ops,0.0,0,600.0
2021-08-01,INIT_DQ1,Data Quality & Reference Alignment,Data,0.0,0,250.0
2021-08-01,INIT_RES1,Observability & Incident Reduction,Ops,0.0,0,400.0
2021-09-01,INIT_A1,Automation Wave 1 (priority flows),IT Ops,0.0,0,600.0
2021-09-01,INIT_DQ1,Data Quality & Reference Alignment,Data,0.0,0,250.0
2021-09-01,INIT_RES1,Observability & Incident Reduction,Ops,0.0,0,400.0
2021-10-01,INIT_A1,Automation Wave 1 (priority flows),IT Ops,0.0,0,600.0
2021-10-01,INIT_DQ1,Data Quality & Reference Alignment,Data,0.0,0,250.0
2021-10-01,INIT_RES1,Observability & Incident Reduction,Ops,0.0,0,400.0
2021-11-01,INIT_A1,Automation Wave 1 (priority flows),IT Ops,0.0,0,600.0
2021-11-01,INIT_DQ1,Data Quality & Reference Alignment,Data,0.0,0,250.0
2021-11-01,INIT_RES1,Observability & Incident Reduction,Ops,0.0,0,400.0
2021-12-01,INIT_A1,Automation Wave 1 (priority flows),IT Ops,0.0,0,600.0
2021-12-01,INIT_DQ1,Data Quality & Reference Alignment,Data,0.0,0,250.0
2021-12-01,INIT_RES1,Observability & Incident Reduction,Ops,0.0,0,400.0
2022-01-01,INIT_A1,Automation Wave 1 (priority flows),IT Ops,0.0,0,600.0
2022-01-01,INIT_DQ1,Data Quality & Reference Alignment,Data,0.0,0,250.0
2022-01-01,INIT_RES1,Observability & Incident Reduction,Ops,0.0,0,400.0
2022-02-01,INIT_A1,Automation Wave 1 (priority flows),IT Ops,0.0,0,600.0
2022-02-01,INIT_DQ1,Data Quality & Reference Alignment,Data,0.0,0,250.0
2022-02-01,INIT_RES1,Observability & Incident Reduction,Ops,0.0,0,400.0
2022-03-01,INIT_A1,Automation Wave 1 (priority flows),IT Ops,0.0,0,600.0
2022-03-01,INIT_DQ1,Data Quality & Reference Alignment,Data,0.0,0,250.0
2022-03-01,INIT_RES1,Observability & Incident Reduction,Ops,0.0,0,400.0
2022-04-01,INIT_A1,Automation Wave 1 (priority flows),IT Ops,0.0,0,600.0
2022-04-01,INIT_DQ1,Data Quality & Reference Alignment,Data,0.0,0,250.0
2022-04-01,INIT_RES1,Observability & Incident Reduction,Ops,0.0,0,400.0
